Date,Time,Open,High,Low,Close,Volume
2023-01-03,14:32,10887.0,10888.75,10876.5,10879.25,1658
2023-01-03,14:33,10879.0,10884.25,10870.75,10880.5,1356
2023-01-03,14:34,10880.25,10884.75,10877.75,10881.0,861
2023-01-03,14:35,10881.0,10884.5,10879.0,10882.25,625
2023-01-03,14:36,10882.25,10888.75,10881.75,10882.5,981
2023-01-03,14:37,10882.25,10890.0,10880.5,10889.0,772
2023-01-03,14:38,10888.75,10889.0,10884.75,10887.0,407
2023-01-03,14:39,10886.75,10888.75,10883.5,10885.5,358
2023-01-03,14:40,10885.5,10888.0,10883.5,10885.5,318
2023-01-03,14:41,10886.0,10902.75,10886.0,10900.5,1011
2023-01-03,14:42,10901.0,10901.25,10897.5,10900.0,520
2023-01-03,14:43,10900.0,10915.75,10898.75,10914.25,1741
2023-01-03,14:44,10914.0,10919.5,10905.5,10918.75,1167
2023-01-03,14:45,10919.0,10960.25,10915.5,10954.25,3925
2023-01-03,14:46,10954.25,10963.25,10951.75,10955.0,2772
2023-01-03,14:47,10955.0,10955.5,10939.75,10947.25,1772
2023-01-03,14:48,10947.5,10953.75,10944.25,10946.75,1138
2023-01-03,14:49,10946.5,10957.5,10944.25,10957.0,1370
2023-01-03,14:50,10957.75,10959.5,10945.5,10950.75,1453
2023-01-03,14:51,10951.0,10952.0,10940.75,10944.0,1073
2023-01-03,14:52,10944.0,10945.0,10930.25,10936.25,1933
2023-01-03,14:53,10936.0,10943.75,10934.25,10941.0,1461
2023-01-03,14:54,10940.75,10943.25,10935.25,10938.25,822
2023-01-03,14:55,10938.0,10954.75,10936.25,10942.25,2486
2023-01-03,14:56,10942.0,10945.0,10932.75,10934.5,1110
2023-01-03,14:57,10934.75,10934.75,10924.75,10931.0,1313
2023-01-03,14:58,10931.0,10937.75,10930.25,10932.75,729
2023-01-03,14:59,10932.75,10938.5,10931.25,10938.0,829
2023-01-03,15:00,10938.0,10956.25,10934.75,10949.25,1958
2023-01-03,15:01,10949.25,10957.75,10942.25,10948.0,1464
2023-01-03,15:02,10947.75,10947.75,10929.5,10930.25,1273
2023-01-03,15:03,10929.75,10936.75,10927.75,10936.0,936
2023-01-03,15:04,10936.25,10946.5,10933.5,10941.5,1465
2023-01-03,15:05,10941.5,10946.5,10938.75,10945.75,960
2023-01-03,15:06,10945.75,10946.0,10935.75,10939.75,854
2023-01-03,15:07,10939.5,10943.0,10927.5,10929.75,1324
2023-01-03,15:08,10930.25,10936.25,10929.0,10934.5,634
2023-01-03,15:09,10935.0,10936.5,10928.25,10932.25,646
2023-01-03,15:10,10932.75,10942.0,10931.0,10937.5,710
2023-01-03,15:11,10937.75,10949.5,10935.5,10944.75,1094
2023-01-03,15:12,10944.5,10950.5,10939.5,10945.5,995
2023-01-03,15:13,10945.0,10951.5,10943.0,10950.75,718
2023-01-03,15:14,10951.25,10956.0,10948.5,10953.25,849
